ExerciseID,ExerciseName
0,Contraction
1,Floor Flyes
2, Ground Pounds
3,Twisting Push Up
4,Decline Push Up
5,Close Grip Push Up
6,Retro Dips
7,Plyo Dips
8,Weighted Dips
9,Incline Bench Press
10,Close Grip Bench Press
11,Flat Bench Press
12,Skull Crusher
13,Bodyweight Extensions
14,Push Aways
15,Lateral Raise
16,Front Raise
17,Leaning Raise
18,Landmine Press
19,Standing Press
20,Face Pulls
21,High Boy Row
22,Landmine Upper Row
23,Waiter Curl
24,Incline Curl
25,Bicep Curl
26,Bench Row
27,Yates Row
28,Dead Row
29,Chin Up
30,Wide Pull Up
31,Lat Pull Downs
32,Straight Arm Pull Down
33,Bent Leg Raise
34,Forward Raise
35,Straight Leg Raise
36,Bulgarian Split Squat
37,Pistol Squat
38,Step Ups
39,Jumps
40,Back Squats
41,Front Squats
42,Straight Bar Deadlift
43,Romanian Dead Lift
44,Hex Bar Deadlift
45,Glute Bridge
46,Medicine Ball Curls
